Date,Open,High,Low,Close,Volume
2015-01-31,84.7511,85.8954,80.7334,80.7686,241537878.41664
2015-02-28,81.052,83.9312,78.3591,83.2654,236789199.87965
2015-03-31,83.5861,83.9852,79.7782,81.711,218486941.06028
2015-04-30,81.5972,82.9584,79.634,80.5754,211228336.16986
2015-05-31,80.9118,84.857,80.1361,81.9308,176598162.43864
2015-06-30,82.0376,82.4975,79.3682,79.7389,207805498.51874
2015-07-31,80.4264,82.9251,79.0652,81.9886,185579902.31699
2015-08-31,81.8159,82.6299,67.4288,77.4795,237148583.56193
2015-09-30,76.086,79.3005,74.1158,76.9588,245067315.35101
2015-10-31,77.0274,84.1901,75.6505,83.2938,232635234.74352
2015-11-30,83.4174,85.5493,82.2259,84.0793,151381771.95149
2015-12-31,84.4853,87.6155,83.3105,85.3101,195109231.93587
2016-01-31,84.4706,86.9968,78.2983,86.7437,254312983.2136
2016-02-29,86.0406,89.4317,82.8672,88.0078,242402463.79498
2016-03-31,88.5806,91.6352,88.2049,90.5164,206779774.73641
2016-04-30,90.3438,95.5137,90.0897,93.7741,189010860.06045
2016-05-31,93.8771,96.204,93.4455,94.9488,168241988.84495
2016-06-30,94.8449,102.292,94.4065,102.184,197885654.96782
2016-07-31,102.39,106.186,101.782,105.509,156648518.08997
2016-08-31,105.587,106.077,100.37,101.204,164009130.42943
2016-09-30,101.086,101.772,99.2719,100.184,153672559.82409
2016-10-31,100.065,101.949,95.8206,98.3792,165097381.87995
2016-11-30,97.323,103.881,95.0636,95.0636,201979365.40899
2016-12-31,95.1106,100.164,93.3514,98.3988,161239698.65115
2017-01-31,98.8692,99.928,94.5881,96.7091,166948269.38426
2017-02-28,96.0501,105.646,96.0403,105.048,156471121.14621
2017-03-31,105.283,110.882,105.195,107.078,193666703.5998
2017-04-30,107.235,108.137,103.969,106.136,123276952.55243
2017-05-31,106.087,111.461,105.145,110.971,130611681.14157
2017-06-30,111.029,118.493,110.862,114.462,167207884.93971
2017-07-31,114.913,118.6,112.128,114.854,123778393.49242
2017-08-31,115.247,116.786,113.717,115.285,122973596.79346
2017-09-30,115.472,118.247,112.363,113.216,132039380.59621
2017-10-31,113.353,125.711,113.226,121.395,142159901.47618
2017-11-30,121.777,123.544,118.963,122.072,106092583.57159
2017-12-31,122.278,126.005,121.424,122.425,128137034.31025
2018-01-31,122.366,129.956,121.003,121.072,192400481.09877
2018-02-28,120.492,123.249,107.038,114.521,201264702.44876
2018-03-31,113.844,119.66,110.127,112.991,172196849.07229
2018-04-30,112.716,117.149,108.912,111.53,163462951.99214
2018-05-31,111.383,112.53,105.371,106.244,157982078.31515
2018-06-30,106.941,110.912,106.577,107.783,157498150.1801
2018-07-31,107.783,117.845,106.694,117.727,164257206.74529
2018-08-31,117.6,122.081,114.531,120.454,139396868.48974
2018-09-30,120.454,127.976,119.346,123.553,136619741.84562
2018-10-31,123.631,126.476,118.247,125.161,187833976.93021
2018-11-30,125.24,133.025,124.298,132.182,170522263.32411
2018-12-31,131.005,134.085,108.872,116.129,321326487.97225
2019-01-31,115.315,121.66,112.501,119.747,193788481.5311
2019-02-28,120.62,124.974,118.139,123.778,132545081.95889
2019-03-31,124.308,126.827,122.973,126.623,151625469.55625
2019-04-30,126.817,128.133,121.777,127.896,137246895.84642
2019-05-31,127.692,128.956,117.207,119.63,175137792.94529
2019-06-30,119.924,132.222,119.552,127.034,165426856.94636
2019-07-31,127.877,129.946,116.609,118.767,175259856.40037
2019-08-31,118.806,122.317,115.943,117.973,191678906.42363
2019-09-30,117.61,122.013,116.09,118.885,135159574.25836
